CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;118
LineMandelCalculator;512;1536;1024;100;85
LineMandelCalculator;512;1536;1024;100;85
LineMandelCalculator;512;1536;1024;100;85
RefMandelCalculator;1024;3072;2048;100;469
RefMandelCalculator;1024;3072;2048;100;469
RefMandelCalculator;1024;3072;2048;100;469
LineMandelCalculator;1024;3072;2048;100;345
LineMandelCalculator;1024;3072;2048;100;344
BatchMandelCalculator;512;1536;1024;100;86
LineMandelCalculator;1024;3072;2048;100;346
BatchMandelCalculator;512;1536;1024;100;85
RefMandelCalculator;2048;6144;4096;100;1870
BatchMandelCalculator;512;1536;1024;100;86
RefMandelCalculator;2048;6144;4096;100;1870
RefMandelCalculator;2048;6144;4096;100;1872
LineMandelCalculator;2048;6144;4096;100;1396
LineMandelCalculator;2048;6144;4096;100;1397
BatchMandelCalculator;1024;3072;2048;100;345
LineMandelCalculator;2048;6144;4096;100;1404
BatchMandelCalculator;1024;3072;2048;100;344
BatchMandelCalculator;1024;3072;2048;100;345
RefMandelCalculator;4096;12288;8192;100;7456
RefMandelCalculator;4096;12288;8192;100;7464
RefMandelCalculator;4096;12288;8192;100;7459
LineMandelCalculator;4096;12288;8192;100;5585
LineMandelCalculator;4096;12288;8192;100;5531
BatchMandelCalculator;2048;6144;4096;100;1378
LineMandelCalculator;4096;12288;8192;100;5537
BatchMandelCalculator;2048;6144;4096;100;1383
BatchMandelCalculator;2048;6144;4096;100;1381
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1041
LineMandelCalculator;512;1536;1024;1000;826
LineMandelCalculator;512;1536;1024;1000;825
BatchMandelCalculator;4096;12288;8192;100;5522
BatchMandelCalculator;4096;12288;8192;100;5553
LineMandelCalculator;512;1536;1024;1000;828
BatchMandelCalculator;4096;12288;8192;100;5566
RefMandelCalculator;1024;3072;2048;1000;4166
RefMandelCalculator;1024;3072;2048;1000;4165
RefMandelCalculator;1024;3072;2048;1000;4168
LineMandelCalculator;1024;3072;2048;1000;3336
LineMandelCalculator;1024;3072;2048;1000;3322
BatchMandelCalculator;512;1536;1024;1000;809
BatchMandelCalculator;512;1536;1024;1000;809
LineMandelCalculator;1024;3072;2048;1000;3334
BatchMandelCalculator;512;1536;1024;1000;811
RefMandelCalculator;2048;6144;4096;1000;16681
LineMandelCalculator;2048;6144;4096;1000;13447
RefMandelCalculator;2048;6144;4096;1000;16672
LineMandelCalculator;2048;6144;4096;1000;13467
BatchMandelCalculator;1024;3072;2048;1000;3235
BatchMandelCalculator;1024;3072;2048;1000;3236
LineMandelCalculator;2048;6144;4096;1000;13451
BatchMandelCalculator;1024;3072;2048;1000;3237
RefMandelCalculator;2048;6144;4096;1000;16671
BatchMandelCalculator;2048;6144;4096;1000;12946
BatchMandelCalculator;2048;6144;4096;1000;12946
BatchMandelCalculator;2048;6144;4096;1000;12967
BatchMandelCalculator;4096;12288;8192;1000;51803
BatchMandelCalculator;4096;12288;8192;1000;51827
BatchMandelCalculator;4096;12288;8192;1000;51893
